,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
0,Boston Bruins,28.4,49,31,9,9,71,0.724,171,127,0.8,-0.12,3.49,2.59,39,150,26.0,31,180,82.78,3,2,1486,11.5,1544,0.918,103.0,3
1,League Average,28.4,49,24,19,5,54,0.555,150,150,,,,,31,153,20.47,31,153,79.53,5,5,1486,10.1,1486,0.899,,3
2,Florida Panthers,29.2,49,31,14,4,66,0.673,157,126,0.6,-0.03,3.2,2.57,39,164,23.78,29,168,82.74,4,8,1682,9.3,1336,0.906,99.9,2
3,Toronto Maple Leafs,28.9,47,25,14,8,58,0.617,162,149,0.32,-0.02,3.45,3.17,34,138,24.64,30,133,77.44,5,6,1555,10.4,1433,0.896,99.9,4
4,Detroit Red Wings,28.9,50,26,18,6,58,0.58,174,161,0.31,0.01,3.48,3.22,42,185,22.7,30,160,81.25,6,7,1444,12.0,1614,0.9,101.7,3
5,Tampa Bay Lightning,28.9,50,27,18,5,59,0.59,174,164,0.27,0.05,3.48,3.28,47,157,29.94,25,132,81.06,2,4,1509,11.5,1492,0.89,99.4,3
6,Montreal Canadiens,26.6,49,20,21,8,48,0.49,132,171,-0.79,0.01,2.69,3.49,32,161,19.88,45,170,73.53,4,7,1374,9.6,1665,0.897,100.4,0
7,Buffalo Sabres,25.6,49,22,23,4,48,0.49,146,154,-0.25,-0.07,2.98,3.14,20,142,14.08,30,150,80.0,3,8,1533,9.5,1435,0.893,99.5,3
8,Ottawa Senators,27.0,47,20,25,2,42,0.447,157,170,-0.15,0.1,3.34,3.62,27,172,15.7,39,152,74.34,3,4,1536,10.2,1428,0.881,99.4,1
9,New York Rangers,29.2,49,30,16,3,63,0.643,160,140,0.34,-0.05,3.27,2.86,41,151,27.15,24,139,82.73,3,5,1534,10.4,1392,0.899,99.1,2
10,Philadelphia Flyers,27.0,50,25,19,6,56,0.56,143,146,0.03,0.05,2.86,2.92,21,158,13.29,22,156,85.9,10,3,1686,8.5,1413,0.897,98.5,4
11,Carolina Hurricanes,29.3,48,28,15,5,61,0.635,162,141,0.37,-0.03,3.38,2.94,45,161,27.95,24,152,84.21,7,8,1597,10.1,1201,0.883,98.5,2
12,Pittsburgh Penguins,31.3,46,22,17,7,51,0.554,136,124,0.2,-0.06,2.96,2.7,20,153,13.07,26,138,81.16,2,5,1534,8.9,1396,0.911,100.4,7
13,Washington Capitals,30.0,47,22,18,7,51,0.543,112,142,-0.76,-0.1,2.38,3.02,19,131,14.5,29,143,79.72,2,4,1284,8.7,1439,0.901,99.1,3
