,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
14,New York Islanders,29.2,49,20,17,12,52,0.531,142,163,-0.45,0.02,2.9,3.33,31,135,22.96,42,152,72.37,9,2,1468,9.7,1709,0.905,100.4,4
15,New Jersey Devils,26.5,47,24,20,3,51,0.543,161,167,-0.19,-0.04,3.43,3.55,36,140,25.71,32,148,78.38,2,6,1461,11.0,1398,0.881,99.3,0
16,Columbus Blue Jackets,26.5,50,16,24,10,42,0.42,146,183,-0.67,0.05,2.92,3.66,21,143,14.69,32,143,77.62,2,3,1475,9.9,1667,0.89,100.2,1
17,Winnipeg Jets,29.1,47,30,12,5,65,0.691,148,108,0.78,-0.05,3.15,2.3,23,147,15.65,31,137,77.37,3,3,1452,10.2,1363,0.921,102.6,2
18,Colorado Avalanche,28.5,49,32,14,3,67,0.684,188,152,0.64,-0.11,3.84,3.1,47,183,25.68,30,168,82.14,7,6,1567,12.0,1427,0.893,100.2,2
19,Dallas Stars,29.4,49,30,13,6,66,0.673,181,150,0.64,-0.02,3.69,3.06,31,137,22.63,26,152,82.89,11,3,1508,12.0,1475,0.898,100.7,2
20,Nashville Predators,29.0,51,26,23,2,54,0.529,151,160,-0.06,0.07,2.96,3.14,33,177,18.64,38,162,76.54,6,4,1573,9.6,1529,0.895,99.7,2
21,Arizona Coyotes,26.8,48,23,22,3,49,0.51,141,147,-0.08,0.0,2.94,3.06,33,148,22.3,33,156,78.85,3,6,1282,11.0,1522,0.903,101.1,6
22,St. Louis Blues,29.0,49,26,21,2,54,0.551,139,152,-0.19,0.05,2.84,3.1,22,145,15.17,28,129,78.29,11,5,1419,9.8,1558,0.902,99.8,3
23,Minnesota Wild,29.3,49,21,23,5,47,0.48,146,164,-0.24,0.1,2.98,3.35,34,164,20.73,44,166,73.49,3,7,1470,9.9,1497,0.89,99.9,3
24,Chicago Blackhawks,27.2,50,14,34,2,30,0.3,104,176,-1.3,0.14,2.08,3.52,19,153,12.42,37,157,76.43,3,5,1321,7.9,1617,0.891,97.9,1
25,Vancouver Canucks,28.4,49,33,11,5,71,0.724,186,125,1.05,-0.15,3.8,2.55,40,160,25.0,30,150,80.0,4,3,1385,13.4,1481,0.916,103.9,6
26,Vegas Golden Knights,28.8,50,29,15,6,64,0.64,159,137,0.43,-0.07,3.18,2.74,34,169,20.12,28,144,80.56,6,2,1563,10.2,1535,0.911,101.2,2
27,Los Angeles Kings,29.2,48,23,15,10,56,0.583,151,127,0.41,-0.01,3.15,2.65,33,156,21.15,19,150,87.33,8,5,1618,9.3,1355,0.906,98.6,3
28,Edmonton Oilers,28.9,45,29,15,1,59,0.656,158,124,0.72,-0.08,3.51,2.76,38,140,27.14,26,153,83.01,4,4,1520,10.4,1260,0.902,99.6,3
29,Calgary Flames,29.2,49,22,22,5,49,0.5,149,151,-0.07,0.06,3.04,3.08,21,152,13.82,23,147,84.35,10,7,1542,9.7,1466,0.897,99.3,2
30,Seattle Kraken,29.1,50,21,19,10,52,0.52,139,143,-0.14,0.0,2.78,2.86,30,138,21.74,29,136,78.68,2,5,1455,9.6,1477,0.903,100.5,2
31,Anaheim Ducks,27.9,50,18,30,2,38,0.38,128,170,-0.74,0.08,2.56,3.4,28,156,17.95,45,204,77.94,6,3,1434,8.9,1635,0.896,98.7,0
32,San Jose Sharks,27.7,51,14,32,5,33,0.324,106,195,-1.63,0.18,2.08,3.82,21,124,16.94,44,163,73.01,2,6,1299,8.2,1807,0.892,97.8,1
