,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
0,Boston Bruins,28.3,48,30,9,9,69,0.719,165,125,0.72,-0.13,3.44,2.6,39,147,26.53,31,177,82.49,3,2,1458,11.3,1507,0.917,102.7,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Florida Panthers,29.2,47,29,14,4,62,0.66,152,122,0.59,-0.03,3.23,2.6,35,157,22.29,28,159,82.39,4,8,1614,9.4,1276,0.904,100.0,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Toronto Maple Leafs,28.9,46,24,14,8,56,0.609,158,147,0.26,-0.04,3.43,3.2,32,135,23.7,30,129,76.74,5,6,1525,10.4,1407,0.896,100.0,4
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Detroit Red Wings,28.9,48,25,18,5,55,0.573,167,156,0.27,0.0,3.48,3.25,41,182,22.53,30,155,80.65,6,7,1390,12.0,1559,0.9,101.7,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Tampa Bay Lightning,28.9,49,26,18,5,57,0.582,168,161,0.22,0.06,3.43,3.29,47,154,30.52,25,131,80.92,2,4,1467,11.5,1468,0.89,99.3,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Montreal Canadiens,26.6,48,20,21,7,47,0.49,130,168,-0.79,0.0,2.71,3.5,31,160,19.38,45,168,73.21,4,7,1347,9.7,1632,0.897,100.4,0
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Buffalo Sabres,25.6,48,21,23,4,46,0.479,141,152,-0.29,-0.04,2.94,3.17,20,140,14.29,30,148,79.73,3,8,1497,9.4,1409,0.892,99.4,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Ottawa Senators,27.0,44,18,24,2,38,0.432,148,158,-0.12,0.09,3.36,3.59,26,165,15.76,39,145,73.1,3,4,1445,10.2,1346,0.883,99.7,1
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,New York Rangers,29.2,47,29,15,3,61,0.649,151,133,0.3,-0.06,3.21,2.83,41,146,28.08,23,136,83.09,3,5,1467,10.3,1341,0.901,99.0,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Philadelphia Flyers,27.0,49,25,18,6,56,0.571,141,140,0.1,0.04,2.88,2.86,21,155,13.55,22,153,85.62,10,3,1649,8.6,1385,0.899,98.8,4
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Carolina Hurricanes,29.3,47,27,15,5,59,0.628,159,140,0.33,-0.03,3.38,2.98,44,159,27.67,24,151,84.11,7,8,1558,10.2,1190,0.882,98.5,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Pittsburgh Penguins,31.2,44,21,17,6,48,0.545,131,120,0.21,-0.06,2.98,2.73,19,143,13.29,23,134,82.84,2,5,1464,8.9,1338,0.91,100.4,7
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Washington Capitals,30.0,46,22,18,6,50,0.543,108,137,-0.77,-0.12,2.35,2.98,18,129,13.95,28,141,80.14,2,4,1256,8.6,1404,0.902,99.1,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,New York Islanders,29.2,48,20,17,11,51,0.531,140,160,-0.45,0.01,2.92,3.33,31,134,23.13,40,148,72.97,9,2,1445,9.7,1672,0.904,100.4,4
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,New Jersey Devils,26.5,46,24,19,3,51,0.554,158,161,-0.15,-0.06,3.43,3.5,36,139,25.9,32,145,77.93,2,6,1437,11.0,1356,0.881,99.3,0
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Columbus Blue Jackets,26.5,47,15,23,9,39,0.415,139,174,-0.69,0.04,2.96,3.7,20,136,14.71,27,133,79.7,1,3,1392,10.0,1586,0.89,100.0,0
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Winnipeg Jets,29.1,46,30,11,5,65,0.707,146,104,0.83,-0.06,3.17,2.26,23,143,16.08,29,134,78.36,3,3,1426,10.2,1333,0.922,102.6,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Colorado Avalanche,28.5,48,31,14,3,65,0.677,183,151,0.57,-0.12,3.81,3.15,46,179,25.7,29,163,82.21,7,6,1536,11.9,1400,0.892,100.0,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Dallas Stars,29.4,48,29,13,6,64,0.667,176,146,0.65,0.0,3.67,3.04,30,135,22.22,25,150,83.33,11,3,1473,11.9,1447,0.899,100.7,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Nashville Predators,29.0,48,26,21,1,53,0.552,145,148,0.03,0.05,3.02,3.08,33,167,19.76,36,155,76.77,6,4,1474,9.8,1449,0.898,99.8,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Arizona Coyotes,26.8,47,23,21,3,49,0.521,140,144,-0.05,-0.01,2.98,3.06,33,147,22.45,32,154,79.22,3,6,1271,11.0,1483,0.903,101.0,6
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,St. Louis Blues,29.0,46,24,20,2,50,0.543,131,145,-0.22,0.07,2.85,3.15,19,134,14.18,27,124,78.23,11,4,1348,9.7,1467,0.901,99.7,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Minnesota Wild,29.4,48,21,22,5,47,0.49,144,161,-0.21,0.12,3.0,3.35,34,160,21.25,44,164,73.17,3,7,1433,10.0,1471,0.891,100.1,3
