,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Chicago Blackhawks,27.2,49,14,33,2,30,0.306,104,175,-1.31,0.14,2.12,3.57,19,151,12.58,36,155,76.77,3,5,1289,8.1,1586,0.89,97.9,1
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Vancouver Canucks,28.4,48,32,11,5,69,0.719,181,121,1.07,-0.14,3.77,2.52,37,156,23.72,29,147,80.27,4,2,1351,13.4,1452,0.917,104.1,6
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Vegas Golden Knights,28.8,48,28,14,6,62,0.646,152,130,0.44,-0.08,3.17,2.71,34,165,20.61,27,140,80.71,6,2,1513,10.0,1468,0.911,101.0,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Los Angeles Kings,29.2,45,22,14,9,53,0.589,143,116,0.49,-0.02,3.18,2.58,32,149,21.48,17,136,87.5,7,5,1534,9.3,1251,0.907,98.8,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Edmonton Oilers,28.9,44,28,15,1,57,0.648,154,123,0.68,-0.07,3.5,2.8,36,137,26.28,26,150,82.67,4,4,1499,10.3,1231,0.9,99.5,3
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Calgary Flames,29.2,48,21,22,5,47,0.49,148,151,-0.06,0.09,3.08,3.15,20,150,13.33,23,145,84.14,10,7,1511,9.8,1434,0.895,99.3,1
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Seattle Kraken,29.1,47,20,18,9,49,0.521,132,135,-0.08,0.04,2.81,2.87,27,132,20.45,27,131,79.39,2,5,1361,9.7,1405,0.904,100.8,2
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,Anaheim Ducks,27.9,48,16,30,2,34,0.354,122,166,-0.78,0.11,2.54,3.46,28,150,18.67,44,197,77.66,6,3,1375,8.9,1570,0.894,98.6,0
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
0,San Jose Sharks,27.7,48,13,31,4,30,0.313,100,187,-1.67,0.21,2.08,3.9,20,118,16.95,44,156,71.79,2,6,1223,8.2,1705,0.89,97.6,0
1,League Average,28.4,47,24,19,5,52,0.553,146,146,,,,,30,149,20.45,30,149,79.55,5,5,1438,10.1,1438,0.899,,2
