,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
10,Nick Seeler,30.0,D,49,0,7,7,14,65,0,0,0,0,5,0,2,59,0.0,832.0,16:59,-0.3,3.1,2.8,138,65,0,0,,6-2,201,L/-,5,800000.0,PHI
11,Garnet Hathaway,32.0,RW,49,4,2,6,-13,72,3,0,1,0,1,0,1,47,8.5,556.0,11:20,-0.6,0.3,-0.3,38,120,13,6,68.4,6-3,208,R/-,8,1700000.0,PHI
12,Noah Cates,24.0,LW,27,1,4,5,-6,0,1,0,0,0,3,0,1,29,3.4,370.0,13:43,-0.4,0.3,-0.2,15,5,112,148,43.1,6-2,194,L/-,2,2625000.0,PHI
13,Rasmus Ristolainen,29.0,D,28,1,3,4,-6,6,1,0,0,0,3,0,0,43,2.3,466.0,16:39,-0.1,0.7,0.6,42,40,0,0,,6-4,221,R/-,10,5500000.0,PHI
14,Jamie Drysdale,21.0,D,7,1,2,3,-2,2,0,1,0,0,1,1,0,11,9.1,137.0,19:31,0.2,0.2,0.4,8,4,0,0,,5-11,183,R/-,3,2300000.0,PHI
15,Nicolas Deslauriers,32.0,LW,44,0,3,3,-8,53,0,0,0,0,3,0,0,40,0.0,383.0,8:42,-0.8,0.2,-0.5,18,112,4,6,40.0,6-1,220,L/-,10,2000000.0,PHI
16,Marc Staal,37.0,D,17,1,1,2,1,10,1,0,0,0,1,0,0,7,14.3,225.0,13:13,0.0,0.6,0.7,21,15,0,0,,6-4,208,L/-,16,1100000.0,PHI
17,Samuel Ersson,24.0,G,24,0,0,0,0,2,0,0,0,0,0,0,0,0,,1389.0,57:51,0.0,0.0,3.3,0,0,0,0,,6-3,196,-/L,1,800000.0,PHI
18,Olle Lycksell,24.0,RW,3,0,0,0,-1,4,0,0,0,0,0,0,0,5,0.0,31.0,10:19,-0.1,0.0,-0.1,0,0,0,2,0.0,5-10,163,L/-,1,775000.0,PHI
0,Sebastian Aho,26.0,F,44,17,37,54,9,18,12,4,1,4,18,18,1,130,13.1,859.0,19:31,4.4,1.5,5.8,10,18,296,256,53.6,6-0,176,L/-,7,775000.0,CAR
1,Seth Jarvis,21.0,C,47,15,21,36,2,10,7,8,0,3,17,3,1,109,13.8,894.0,19:01,2.4,1.3,3.6,27,68,98,129,43.2,5-10,175,R/-,2,832500.0,CAR
2,Michael Bunting,28.0,LW,46,10,21,31,-15,39,5,5,0,1,12,9,0,75,13.3,677.0,14:43,2.0,0.3,2.4,13,13,6,15,28.6,6-0,192,L/-,4,1500000.0,CAR
3,Martin Necas,25.0,C,42,12,18,30,-13,26,9,3,0,2,13,5,0,111,10.8,739.0,17:36,2.0,0.5,2.5,17,37,32,64,33.3,6-2,189,R/-,6,3500000.0,CAR
4,Andrei Svechnikov,23.0,RW,29,11,19,30,3,30,6,5,0,6,10,9,0,71,15.5,495.0,17:04,2.5,0.8,3.3,8,66,0,0,,6-2,195,L/-,5,9000000.0,CAR
5,Teuvo Teravainen,29.0,F,47,16,13,29,4,4,8,7,1,3,8,4,1,90,17.8,798.0,16:58,2.1,1.2,3.3,15,8,60,63,48.8,5-11,191,L/-,10,5875000.0,CAR
6,Stefan Noesen,30.0,RW,46,11,16,27,9,24,8,3,0,1,12,4,0,62,17.7,572.0,12:26,2.0,1.1,3.1,13,53,19,42,31.1,6-1,205,R/-,9,775000.0,CAR
7,Brady Skjei,29.0,D,47,7,20,27,2,22,5,1,1,1,13,6,1,101,6.9,1003.0,21:20,2.0,2.5,4.5,50,28,0,0,,6-3,210,L/-,8,5400000.0,CAR
