,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
7,Cole Smith,28.0,F,47,5,11,16,1,50,4,0,1,2,9,0,2,67,7.5,634.0,13:30,0.3,0.8,1.1,21,119,5,9,35.7,6-3,195,L/-,3,775000.0,NSH
8,Alexandre Carrier,27.0,D,44,4,10,14,1,26,3,0,1,2,9,1,0,37,10.8,807.0,18:20,0.8,1.8,2.5,91,43,0,0,,5-11,174,R/-,5,2500000.0,NSH
9,Michael McCarron,28.0,RW,36,6,5,11,0,57,6,0,0,0,5,0,0,38,15.8,433.0,12:02,0.5,0.5,1.0,26,65,147,152,49.2,6-6,232,R/-,6,775000.0,NSH
10,Kiefer Sherwood,28.0,RW,38,5,6,11,6,20,5,0,0,0,6,0,0,61,8.2,456.0,11:59,0.3,0.7,1.0,15,110,9,15,37.5,6-0,194,R/-,5,775000.0,NSH
11,Tyson Barrie,32.0,D,31,1,10,11,-8,14,1,0,0,0,7,3,0,40,2.5,563.0,18:09,0.5,0.6,1.1,35,6,0,0,,5-11,197,R/-,12,3750000.0,NSH
12,Ryan McDonagh,34.0,D,41,1,10,11,6,16,1,0,0,0,7,3,0,51,2.0,881.0,21:29,0.1,2.3,2.4,71,19,0,0,,6-1,215,L/-,13,8400000.0,NSH
13,Yakov Trenin,27.0,C,45,7,3,10,3,32,7,0,0,2,2,0,1,66,10.6,685.0,15:13,-0.2,0.9,0.7,21,104,20,23,46.5,6-2,201,L/-,4,1700000.0,NSH
14,Dante Fabbro,25.0,D,38,2,7,9,2,18,2,0,0,0,7,0,0,40,5.0,641.0,16:52,0.3,1.5,1.8,65,27,0,0,,6-0,189,R/-,5,2500000.0,NSH
15,Jeremy Lauzon,26.0,D,48,5,3,8,0,60,5,0,0,0,3,0,0,61,8.2,857.0,17:51,0.2,1.8,2.0,70,191,0,0,,6-1,204,L/-,5,2000000.0,NSH
16,Luke Schenn,34.0,D,29,0,5,5,1,18,0,0,0,0,5,0,0,32,0.0,430.0,14:50,0.0,1.0,0.9,35,82,0,0,,6-2,225,R/-,15,2750000.0,NSH
17,Cody Glass,24.0,C,20,1,1,2,-11,14,1,0,0,0,1,0,0,31,3.2,263.0,13:09,-0.4,-0.1,-0.5,6,14,69,80,46.3,6-3,206,R/-,4,2500000.0,NSH
