,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
18,Joey Daccord,27.0,G,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990.0,58:32,0.0,0.0,7.4,0,0,0,0,,6-2,201,-/L,4,1200000.0,SEA
0,Troy Terry,26.0,C,47,15,22,37,-2,20,12,3,0,4,15,7,0,118,12.7,865.0,18:25,2.7,1.0,3.7,15,7,4,4,50.0,6-0,185,R/-,6,7000000.0,ANA
1,Frank Vatrano,29.0,LW,50,22,14,36,-13,55,12,8,2,5,10,3,1,159,13.8,913.0,18:16,3.1,0.7,3.8,55,78,4,8,33.3,5-11,197,L/-,8,3650000.0,ANA
2,Adam Henrique,33.0,C,49,15,18,33,1,26,9,4,2,2,12,4,2,93,16.1,846.0,17:16,2.3,1.1,3.4,44,32,396,346,53.4,6-0,195,L/-,13,5825000.0,ANA
3,Mason McTavish,21.0,C,43,13,18,31,-17,62,8,4,1,3,13,4,1,97,13.4,722.0,16:48,2.3,0.3,2.6,29,25,317,268,54.2,6-0,213,L/-,2,832500.0,ANA
4,Ryan Strome,30.0,C,47,6,18,24,-12,63,5,1,0,0,13,5,0,83,7.2,742.0,15:47,0.9,0.5,1.4,14,28,87,116,42.9,6-1,191,R/-,10,5000000.0,ANA
5,Cam Fowler,32.0,D,50,2,20,22,-26,12,2,0,0,0,11,9,0,74,2.7,1262.0,25:14,0.8,1.1,1.9,74,19,0,0,,6-2,215,L/-,13,7500000.0,ANA
6,Leo Carlsson,19.0,C,31,8,11,19,-6,8,5,3,0,0,7,4,0,64,12.5,572.0,18:27,1.0,0.5,1.6,10,14,112,215,34.3,6-3,194,L/-,0,855000.0,ANA
7,Radko Gudas,33.0,D,44,6,7,13,17,81,6,0,0,0,7,0,0,61,9.8,838.0,19:03,0.8,3.2,4.1,103,126,0,0,,6-0,208,R/-,11,4000000.0,ANA
8,Jakob Silfverberg,33.0,LW,49,5,8,13,5,10,5,0,0,1,6,2,0,75,6.7,600.0,12:14,0.1,0.9,1.0,19,9,12,12,50.0,6-1,207,R/-,11,5250000.0,ANA
9,Brett Leason,24.0,RW,42,6,6,12,-7,12,6,0,0,0,6,0,0,58,10.3,536.0,12:45,0.3,0.4,0.7,34,40,9,14,39.1,6-5,218,R/-,2,800000.0,ANA
10,Sam Carrick,31.0,C,50,7,3,10,-9,64,5,1,1,0,3,0,0,62,11.3,639.0,12:47,-0.1,0.5,0.4,23,78,270,251,51.8,6-0,200,R/-,7,850000.0,ANA
11,Jackson LaCombe,23.0,D,46,1,8,9,-23,12,1,0,0,0,8,0,0,42,2.4,910.0,19:47,-0.2,0.5,0.3,82,34,0,0,,6-2,205,L/-,1,832500.0,ANA
12,Urho Vaakanainen,25.0,D,42,1,8,9,6,14,1,0,0,0,8,0,0,43,2.3,707.0,16:49,0.1,2.1,2.2,47,20,0,0,,6-2,200,L/-,5,900000.0,ANA
13,Isac Lundestrom,24.0,C,14,2,2,4,4,0,2,0,0,0,2,0,0,13,15.4,194.0,13:52,0.0,0.4,0.4,7,5,38,38,50.0,6-0,193,L/-,5,1800000.0,ANA
14,Ilya Lyubushkin,29.0,D,47,0,4,4,-9,51,0,0,0,0,4,0,0,31,0.0,801.0,17:03,-0.6,1.3,0.6,121,72,0,0,,6-2,200,R/-,5,2750000.0,ANA
15,Brock McGinn,29.0,LW,24,1,2,3,-5,4,1,0,0,0,2,0,0,24,4.2,266.0,11:05,-0.3,0.2,-0.2,11,27,5,7,41.7,6-0,187,L/-,8,2750000.0,ANA
16,Ross Johnston,29.0,LW,37,0,2,2,-4,80,0,0,0,0,2,0,0,26,0.0,283.0,7:39,-0.6,0.2,-0.4,16,57,2,0,100.0,6-5,230,L/-,7,1100000.0,ANA
17,Olen Zellweger,20.0,D,4,0,1,1,2,0,0,0,0,0,0,1,0,6,0.0,65.0,16:20,0.0,0.3,0.3,5,4,0,0,,5-9,182,L/-,0,775000.0,ANA
18,Lukas Dostal,23.0,G,22,0,0,0,0,4,0,0,0,0,0,0,0,0,,1184.0,53:49,0.0,0.0,4.0,0,0,0,0,,6-2,188,-/L,2,775000.0,ANA
19,John Gibson,30.0,G,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,1793.0,56:02,0.0,0.0,5.1,0,0,0,0,,6-2,210,-/L,10,,ANA
20,Gustav Lindstrom,25.0,D,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,68.0,13:35,-0.1,0.3,0.2,2,4,0,0,,6-2,194,R/-,4,950000.0,ANA
