,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
8,Paul Cotter,24.0,C,45,5,10,15,-4,33,3,2,0,0,9,1,0,58,8.6,560.0,12:26,0.4,0.5,0.9,21,134,13,13,50.0,6-2,212,L/-,2,775000.0,VEG
9,Brett Howden,25.0,C,43,5,8,13,-3,27,3,0,2,0,8,0,0,44,11.4,556.0,12:55,0.2,0.6,0.8,28,43,107,111,49.1,6-2,203,L/-,5,775000.0,VEG
10,Pavel Dorofeyev,23.0,LW,25,5,7,12,4,2,5,0,0,0,7,0,0,51,9.8,335.0,13:23,0.7,0.6,1.3,13,8,1,1,50.0,6-1,194,L/-,2,825000.0,VEG
11,Keegan Kolesar,26.0,RW,42,3,6,9,0,34,3,0,0,1,5,0,1,36,8.3,457.0,10:53,-0.1,0.6,0.4,26,125,1,4,20.0,6-2,217,R/-,4,1400000.0,VEG
12,Nicolas Hague,25.0,D,37,1,8,9,0,32,1,0,0,1,8,0,0,58,1.7,690.0,18:38,0.1,1.6,1.7,61,46,0,0,,6-6,230,L/-,4,775000.0,VEG
13,Kaedan Korczak,23.0,D,19,1,7,8,9,6,1,0,0,0,6,1,0,23,4.3,309.0,16:16,0.5,1.4,1.8,24,28,0,0,,6-3,202,R/-,2,775000.0,VEG
14,Alec Martinez,36.0,D,28,4,3,7,2,4,4,0,0,0,1,2,0,41,9.8,540.0,19:17,0.4,1.4,1.8,91,17,0,0,,6-1,210,L/-,14,4250000.0,VEG
15,Zach Whitecloud,27.0,D,30,2,3,5,2,20,2,0,0,1,3,0,0,29,6.9,556.0,18:32,0.0,1.4,1.4,50,51,0,0,,6-2,207,R/-,5,3000000.0,VEG
16,Logan Thompson,26.0,G,28,0,2,2,0,0,0,0,0,0,0,2,0,0,,1617.0,57:45,0.0,0.0,5.1,0,0,0,0,,6-4,205,-/L,3,775000.0,VEG
17,Brayden Pachal,24.0,D,17,1,0,1,-2,12,1,0,0,0,0,0,0,18,5.6,248.0,14:37,-0.1,0.4,0.3,23,42,0,0,,6-1,204,R/-,2,775000.0,VEG
18,Adin Hill,27.0,G,15,0,1,1,0,0,0,0,0,0,1,0,0,0,,841.0,56:05,0.0,0.0,3.6,0,0,0,0,,6-6,215,-/L,6,1600000.0,VEG
19,Brendan Brisson,22.0,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21.0,10:30,-0.1,0.0,-0.1,0,1,1,0,100.0,6-0,191,L/-,0,832500.0,VEG
