,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
8,Anton Lundell,22.0,C,40,2,12,14,6,18,2,0,0,0,9,2,1,81,2.5,611.0,15:17,-0.1,1.0,0.9,14,14,238,220,52.0,6-1,185,L/-,2,832500.0,FLA
9,Niko Mikkola,27.0,D,44,3,10,13,6,18,3,0,0,0,9,0,1,52,5.8,886.0,20:09,0.4,2.6,3.1,74,77,0,0,,6-4,209,L/-,4,2500000.0,FLA
10,Eetu Luostarinen,25.0,C,44,7,4,11,-5,8,5,2,0,2,4,0,0,63,11.1,709.0,16:06,-0.2,0.8,0.5,32,50,73,66,52.5,6-3,190,L/-,4,1500000.0,FLA
11,Dmitry Kulikov,33.0,D,40,0,11,11,2,32,0,0,0,0,9,0,2,40,0.0,673.0,16:50,0.2,1.8,2.0,51,52,0,0,,6-1,201,L/-,14,1000000.0,FLA
12,Kevin Stenlund,27.0,C,44,8,2,10,-6,38,8,0,0,2,2,0,0,43,18.6,558.0,12:41,0.2,0.5,0.7,26,32,256,202,55.9,6-4,211,R/-,5,1000000.0,FLA
13,Aaron Ekblad,27.0,D,27,1,8,9,15,30,1,0,0,0,5,3,0,52,1.9,577.0,21:23,0.3,2.5,2.8,32,33,0,0,,6-4,215,R/-,9,4000000.0,FLA
14,Brandon Montour,29.0,D,28,1,8,9,-5,10,1,0,0,1,2,6,0,69,1.4,648.0,23:09,0.2,1.2,1.4,24,25,0,0,,6-0,194,R/-,7,775000.0,FLA
15,Josh Mahura,25.0,D,18,0,5,5,-4,8,0,0,0,0,5,0,0,15,0.0,227.0,12:37,0.2,0.3,0.5,12,15,0,0,,6-0,185,L/-,5,925000.0,FLA
16,Ryan Lomberg,29.0,LW,44,2,1,3,-1,27,2,0,0,0,1,0,0,49,4.1,422.0,9:36,-0.7,0.5,-0.2,10,68,3,6,33.3,5-9,187,L/-,5,825000.0,FLA
17,Steven Lorentz,27.0,C,26,1,2,3,-7,6,1,0,0,1,2,0,0,20,5.0,221.0,8:30,-0.2,0.0,-0.2,10,29,40,46,46.5,6-4,206,L/-,3,1150000.0,FLA
18,Sergei Bobrovsky,35.0,G,33,0,2,2,0,2,0,0,0,0,0,2,0,0,,1949.0,59:04,0.0,0.0,5.8,0,0,0,0,,6-2,182,-/L,13,5000000.0,FLA
19,Jonah Gadjovich,25.0,LW,16,0,2,2,-2,45,0,0,0,0,2,0,0,17,0.0,107.0,6:43,-0.1,0.1,0.0,4,17,0,0,,6-2,209,L/-,3,810000.0,FLA
20,William Lockwood,25.0,RW,22,0,1,1,2,5,0,0,0,0,1,0,0,18,0.0,192.0,8:44,-0.4,0.3,-0.1,7,42,3,4,42.9,5-11,172,R/-,3,775000.0,FLA
21,Anthony Stolarz,30.0,G,12,0,0,0,0,2,0,0,0,0,0,0,0,0,,676.0,56:22,0.0,0.0,1.9,0,0,0,0,,6-6,243,-/L,6,1100000.0,FLA
0,William Nylander,27.0,C,43,21,38,59,3,10,13,6,2,3,21,16,1,186,11.3,864.0,20:06,5.3,0.9,6.2,11,17,13,22,37.1,6-0,204,R/-,8,2500000.0,TOR
1,Auston Matthews,26.0,C,42,37,17,54,9,4,28,9,0,3,10,6,1,180,20.6,892.0,21:15,6.3,1.1,7.5,53,40,371,334,52.6,6-3,208,L/-,7,775000.0,TOR
