,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
8,Dylan Guenther,F,20,6-1,181,R/-,1,832500.0,5,2,1,3,-1,4,2,0,0,0,0,1,0,14,14.3,74.0,14:46,0.3,0.1,0.3,3,1,1,0,100.0,ARI
9,Connor Ingram,G,26,6-2,196,-/L,2,1750000.0,27,0,2,2,0,0,0,0,0,0,2,0,0,0,,1497.0,55:28,0.0,0.0,5.6,0,0,0,0,,ARI
10,Clayton Keller,F,25,5-10,178,L/-,7,6000000.0,42,17,22,39,-15,24,11,6,0,4,10,12,0,120,14.2,804.0,19:09,3.2,0.5,3.7,16,10,15,19,44.1,ARI
11,Alexander Kerfoot,F,29,5-11,186,L/-,6,3000000.0,42,6,19,25,-2,14,3,2,1,2,12,6,1,59,10.2,745.0,17:44,0.9,0.9,1.8,24,23,186,210,47.0,ARI
12,Michael Kesselring,D,24,6-4,190,R/-,1,832500.0,25,4,7,11,1,16,4,0,0,1,7,0,0,31,12.9,349.0,13:58,1.0,0.9,1.9,17,33,0,0,,ARI
13,Vladislav Kolyachonok,D,22,6-1,193,L/-,2,775000.0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,6.0,6:09,0.0,0.0,0.0,0,1,0,0,,ARI
14,Matias Maccelli,F,23,5-11,176,L/-,2,3000000.0,42,7,22,29,-4,4,6,1,0,1,17,4,1,79,8.9,700.0,16:41,1.5,0.7,2.3,18,7,2,4,33.3,ARI
15,Jack McBain,F,24,6-3,201,L/-,2,1599999.0,27,6,6,12,1,26,6,0,0,1,6,0,0,25,24.0,344.0,12:45,0.8,0.5,1.3,15,56,115,146,44.1,ARI
16,J.J. Moser,D,23,6-1,173,L/-,2,832500.0,40,3,14,17,8,8,3,0,0,0,11,1,2,37,8.1,796.0,19:53,0.9,2.4,3.4,64,36,0,0,,ARI
17,Liam O'Brien,F,29,6-1,213,L/-,6,800000.0,42,3,4,7,3,98,3,0,0,0,4,0,0,37,8.1,420.0,10:00,-0.2,0.6,0.4,16,100,6,8,42.9,ARI
18,Nick Schmaltz,F,27,6-0,181,R/-,7,7500000.0,42,13,15,28,-10,6,6,7,0,3,9,6,0,88,14.8,820.0,19:32,1.7,0.7,2.4,26,1,100,133,42.9,ARI
19,Troy Stecher,D,29,5-10,184,R/-,7,1100000.0,40,1,4,5,7,20,1,0,0,0,4,0,0,39,2.6,753.0,18:49,-0.4,2.3,1.9,54,37,0,0,,ARI
20,Karel Vejmelka,G,27,6-4,224,-/R,2,3150000.0,19,0,1,1,0,0,0,0,0,0,1,0,0,0,,1031.0,54:15,0.0,0.0,2.6,0,0,0,0,,ARI
21,Jason Zucker,F,32,5-11,192,L/-,12,5300000.0,32,6,8,14,3,36,3,3,0,0,6,2,0,68,8.8,464.0,14:29,0.6,0.7,1.4,9,38,10,17,37.0,ARI
0,Nikita Alexandrov,F,23,6-1,177,L/-,1,832500.0,10,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,75.0,7:28,-0.2,0.0,-0.2,4,16,17,25,40.5,STL
1,Jordan Binnington,G,30,6-2,172,-/L,6,7500000.0,30,0,1,1,0,0,0,0,0,0,1,0,0,0,,1696.0,56:33,0.0,0.0,5.5,0,0,0,0,,STL
2,Sammy Blais,F,27,6-2,206,L/-,6,,34,1,6,7,-8,10,1,0,0,0,6,0,0,21,4.8,340.0,9:59,-0.2,0.1,0.0,10,95,1,7,12.5,STL
3,Pavel Buchnevich,F,28,6-1,196,L/-,7,6900000.0,40,13,19,32,7,28,7,4,2,4,17,1,1,111,11.7,795.0,19:53,2.2,1.3,3.4,14,22,10,30,25.0,STL
4,Justin Faulk,D,31,6-0,214,R/-,12,7900000.0,37,2,15,17,-3,10,1,1,0,1,13,1,1,83,2.4,823.0,22:14,0.8,1.6,2.4,71,46,0,0,,STL
5,Kevin Hayes,F,31,6-5,216,L/-,9,3250000.0,42,10,10,20,-2,8,10,0,0,2,6,4,0,80,12.5,621.0,14:48,1.2,0.7,1.9,11,19,274,215,56.0,STL
6,Joel Hofer,G,23,6-5,179,-/R,2,775000.0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,,812.0,50:44,0.0,0.0,2.7,0,0,0,0,,STL
7,Matthew Kessel,D,23,6-2,205,R/-,1,832500.0,7,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,118.0,16:55,-0.1,0.3,0.2,16,3,0,0,,STL
8,Torey Krug,D,32,5-9,194,L/-,12,8500000.0,42,1,18,19,-13,16,1,0,0,1,13,5,0,90,1.1,911.0,21:42,0.8,1.0,1.8,57,25,0,0,,STL
9,Jordan Kyrou,F,25,6-1,196,R/-,5,9000000.0,42,12,20,32,-7,14,11,1,0,0,13,7,0,144,8.3,771.0,18:21,2.2,0.7,2.9,19,12,2,4,33.3,STL
10,Nick Leddy,D,32,6-0,205,L/-,13,4500000.0,42,2,10,12,5,8,1,0,1,0,9,0,1,42,4.8,928.0,22:06,0.2,2.4,2.6,58,17,0,0,,STL
11,Jake Neighbours,F,21,5-11,201,L/-,2,832500.0,42,13,3,16,-6,2,10,3,0,0,2,1,0,76,17.1,618.0,14:43,1.1,0.6,1.7,26,66,4,13,23.5,STL
12,Colton Parayko,D,30,6-6,228,R/-,8,8000000.0,42,7,6,13,3,10,7,0,0,3,5,0,1,84,8.3,1002.0,23:51,0.7,2.4,3.1,106,44,0,0,,STL
13,Scott Perunovich,D,25,5-10,175,L/-,1,775000.0,27,0,9,9,-6,6,0,0,0,0,5,4,0,23,0.0,387.0,14:19,0.4,0.4,0.8,26,7,0,0,,STL
14,Brandon Saad,F,31,6-1,215,L/-,12,5500000.0,42,11,8,19,-7,14,8,3,0,2,8,0,0,73,15.1,651.0,15:30,1.1,0.6,1.7,8,5,4,10,28.6,STL
15,Marco Scandella,D,33,6-3,212,L/-,13,3000000.0,38,2,3,5,1,6,1,0,1,1,3,0,0,22,9.1,485.0,12:46,0.1,1.1,1.2,30,40,0,0,,STL
16,Oskar Sundqvist,F,29,6-3,220,R/-,8,775000.0,42,5,12,17,1,10,2,2,1,0,10,0,2,45,11.1,553.0,13:10,0.6,0.7,1.3,32,40,143,210,40.5,STL
17,Robert Thomas,F,24,6-0,218,R/-,5,9000000.0,42,16,28,44,12,18,14,1,1,2,21,6,1,87,18.4,877.0,20:53,3.4,1.6,5.0,21,8,425,385,52.5,STL
18,Alexey Toropchenko,F,24,6-6,222,L/-,2,1250000.0,42,6,4,10,-4,24,4,0,2,1,4,0,0,50,12.0,504.0,12:00,0.2,0.5,0.7,26,55,0,2,0.0,STL
19,Nathan Walker,F,29,5-9,187,L/-,6,775000.0,6,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,53.0,8:48,0.0,0.1,0.1,5,8,4,1,80.0,STL
0,Zach Bogosian,D,33,6-2,222,R/-,15,1050000.0,27,1,5,6,1,14,1,0,0,0,3,0,2,35,2.9,465.0,17:14,0.1,1.0,1.1,35,50,0,0,,MIN
1,Matt Boldy,F,22,6-2,201,L/-,2,,36,15,13,28,2,36,10,5,0,2,9,4,0,98,15.3,659.0,18:18,2.3,0.8,3.1,13,9,15,27,35.7,MIN
