,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
10,Philipp Kurashev,F,24,6-0,190,L/-,3,2250000.0,37,8,15,23,-21,12,5,3,0,2,11,4,0,67,11.9,700.0,18:54,1.1,0.3,1.4,26,9,57,65,46.7,CHI
11,Jaycob Megna,D,31,6-6,220,L/-,5,775000.0,7,0,1,1,1,8,0,0,0,0,1,0,0,5,0.0,125.0,17:51,-0.1,0.4,0.3,17,6,0,0,,CHI
12,Connor Murphy,D,30,6-4,212,R/-,10,5800000.0,43,2,6,8,-19,40,2,0,0,0,6,0,0,48,4.2,854.0,19:51,-0.1,0.9,0.8,105,93,0,0,,CHI
13,Isaak Phillips,D,22,6-3,205,L/-,2,800000.0,21,0,5,5,-15,20,0,0,0,0,5,0,0,21,0.0,371.0,17:39,0.0,-0.1,-0.1,21,25,0,0,,CHI
14,Rem Pitlick,F,26,5-11,186,L/-,4,1100000.0,4,0,0,0,-2,0,0,0,0,0,0,0,0,6,0.0,73.0,18:15,-0.2,0.0,-0.2,2,4,1,1,50.0,CHI
15,Taylor Raddysh,F,25,6-3,198,R/-,2,775000.0,39,5,5,10,-7,12,3,1,1,0,4,1,0,64,7.8,642.0,16:28,-0.3,0.7,0.4,19,39,10,21,32.3,CHI
16,Lukas Reichel,F,21,6-0,170,L/-,2,832500.0,43,3,6,9,-25,12,1,2,0,0,6,0,0,60,5.0,629.0,14:38,-0.6,0.0,-0.5,16,15,84,108,43.8,CHI
17,Zach Sanford,F,29,6-4,206,L/-,6,,5,0,2,2,-1,0,0,0,0,0,1,1,0,2,0.0,60.0,12:03,0.0,0.1,0.1,4,6,9,21,30.0,CHI
18,Jarred Tinordi,D,31,6-6,229,L/-,8,1250000.0,24,0,6,6,-14,31,0,0,0,0,5,0,1,16,0.0,377.0,15:43,0.1,0.0,0.1,51,69,0,0,,CHI
19,Alex Vlasic,D,22,6-6,199,L/-,2,832500.0,38,1,9,10,7,25,1,0,0,1,8,1,0,37,2.7,793.0,20:51,0.1,2.6,2.7,76,21,0,0,,CHI
