,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
10,Sean Walker,29.0,D,44,4,11,15,6,24,2,0,2,1,9,1,1,75,5.3,884.0,20:05,0.8,2.6,3.4,63,53,0,0,,5-11,195,R/-,5,3350000.0,PHI
11,Ryan Poehling,25.0,C,39,5,8,13,-6,6,4,0,1,1,7,0,1,51,9.8,532.0,13:38,0.3,0.5,0.8,40,21,191,203,48.5,6-2,196,L/-,4,1400000.0,PHI
12,Nick Seeler,30.0,D,44,0,7,7,14,63,0,0,0,0,5,0,2,56,0.0,752.0,17:05,-0.3,2.9,2.6,120,60,0,0,,6-2,201,L/-,5,800000.0,PHI
13,Garnet Hathaway,32.0,RW,44,4,2,6,-10,68,3,0,1,0,1,0,1,43,9.3,489.0,11:06,-0.4,0.3,-0.1,35,106,12,6,66.7,6-3,208,R/-,8,1700000.0,PHI
14,Noah Cates,24.0,LW,22,1,3,4,-3,0,1,0,0,0,2,0,1,21,4.8,315.0,14:19,-0.4,0.3,-0.1,15,5,107,141,43.1,6-2,194,L/-,2,2625000.0,PHI
15,Rasmus Ristolainen,29.0,D,24,1,2,3,-5,4,1,0,0,0,2,0,0,39,2.6,412.0,17:11,-0.1,0.6,0.5,35,38,0,0,,6-4,221,R/-,10,5500000.0,PHI
16,Nicolas Deslauriers,32.0,LW,42,0,3,3,-8,46,0,0,0,0,3,0,0,40,0.0,370.0,8:49,-0.7,0.2,-0.5,18,105,4,5,44.4,6-1,220,L/-,10,2000000.0,PHI
17,Marc Staal,37.0,D,17,1,1,2,1,10,1,0,0,0,1,0,0,7,14.3,225.0,13:13,0.0,0.6,0.6,21,15,0,0,,6-4,208,L/-,16,1100000.0,PHI
18,Jamie Drysdale,21.0,D,2,0,2,2,1,2,0,0,0,0,1,1,0,3,0.0,42.0,20:58,0.1,0.2,0.3,3,3,0,0,,5-11,183,R/-,3,2300000.0,PHI
19,Carter Hart,25.0,G,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,1415.0,56:36,0.0,0.0,4.7,0,0,0,0,,6-2,181,-/L,5,4479000.0,PHI
20,Samuel Ersson,24.0,G,19,0,0,0,0,2,0,0,0,0,0,0,0,0,,1135.0,59:44,0.0,0.0,3.2,0,0,0,0,,6-3,196,-/L,1,800000.0,PHI
0,Sebastian Aho,26.0,F,40,15,33,48,8,18,10,4,1,4,16,16,1,121,12.4,785.0,19:37,3.9,1.3,5.1,9,12,269,232,53.7,6-0,176,L/-,7,775000.0,CAR
1,Seth Jarvis,21.0,C,43,15,18,33,3,8,7,8,0,3,15,2,1,102,14.7,819.0,19:02,2.3,1.2,3.5,25,62,95,123,43.6,5-10,175,R/-,2,832500.0,CAR
2,Andrei Svechnikov,23.0,RW,28,10,18,28,2,30,6,4,0,5,9,9,0,68,14.7,478.0,17:05,2.3,0.7,3.0,8,63,0,0,,6-2,195,L/-,5,9000000.0,CAR
3,Michael Bunting,28.0,LW,42,9,18,27,-12,37,4,5,0,1,11,7,0,67,13.4,617.0,14:42,1.7,0.3,2.1,13,12,6,14,30.0,6-0,192,L/-,4,1500000.0,CAR
4,Stefan Noesen,30.0,RW,42,11,15,26,9,22,8,3,0,1,11,4,0,56,19.6,512.0,12:11,2.1,1.0,3.1,9,48,17,38,30.9,6-1,205,R/-,9,775000.0,CAR
5,Martin Necas,25.0,C,38,9,17,26,-13,24,7,2,0,2,12,5,0,89,10.1,665.0,17:30,1.5,0.4,1.9,16,31,32,64,33.3,6-2,189,R/-,6,3500000.0,CAR
6,Teuvo Teravainen,29.0,F,43,14,11,25,3,2,8,5,1,3,6,4,1,82,17.1,735.0,17:05,1.7,1.0,2.7,15,7,58,61,48.7,5-11,191,L/-,10,5875000.0,CAR
7,Brent Burns,38.0,D,43,8,17,25,13,14,4,3,1,0,8,9,0,110,7.3,928.0,21:35,2.0,3.1,5.1,36,12,0,0,,6-5,230,R/-,19,1980000.0,CAR
8,Brady Skjei,29.0,D,43,7,18,25,4,20,5,1,1,1,12,5,1,90,7.8,917.0,21:19,1.9,2.4,4.3,48,23,0,0,,6-3,210,L/-,8,5400000.0,CAR
9,Jack Drury,23.0,C,43,8,11,19,4,16,6,2,0,0,8,3,0,57,14.0,478.0,11:06,1.3,0.8,2.0,15,15,189,169,52.8,5-11,174,L/-,2,832500.0,CAR
10,Jaccob Slavin,29.0,D,43,4,15,19,10,4,2,0,2,0,14,0,1,87,4.6,899.0,20:54,1.1,2.8,3.8,68,20,0,0,,6-3,207,L/-,8,5500000.0,CAR
11,Jesperi Kotkaniemi,23.0,C,43,9,9,18,-9,28,8,1,0,0,7,1,1,86,10.5,633.0,14:43,0.8,0.5,1.3,21,26,207,218,48.7,6-2,201,L/-,5,4500000.0,CAR
12,Dmitry Orlov,32.0,D,43,2,13,15,-6,26,1,0,1,0,10,3,0,68,2.9,718.0,16:42,0.7,1.2,1.9,30,44,0,0,,5-11,214,L/-,11,4750000.0,CAR
13,Jordan Martinook,31.0,LW,43,5,9,14,-2,18,5,0,0,0,9,0,0,86,5.8,642.0,14:56,0.0,0.7,0.8,17,25,26,16,61.9,6-0,196,L/-,9,2700000.0,CAR
14,Jordan Staal,35.0,C,43,5,8,13,-11,26,5,0,0,1,6,1,1,70,7.1,676.0,15:43,-0.2,0.5,0.3,21,63,440,329,57.2,6-4,220,L/-,17,3450000.0,CAR
15,Jalen Chatfield,27.0,D,38,4,8,12,0,10,4,0,0,0,8,0,0,50,8.0,564.0,14:51,0.8,1.3,2.1,35,25,0,0,,6-1,188,R/-,3,775000.0,CAR
16,Jesper Fast,32.0,RW,40,4,7,11,0,8,4,0,0,0,7,0,0,46,8.7,532.0,13:18,0.0,0.7,0.6,10,26,3,4,42.9,6-1,191,R/-,10,2400000.0,CAR
17,Tony DeAngelo,28.0,D,21,2,7,9,-11,14,0,2,0,0,3,4,0,33,6.1,299.0,14:15,0.7,-0.1,0.6,9,2,0,0,,5-11,180,R/-,7,,CAR
18,Brett Pesce,29.0,D,35,3,4,7,-2,10,3,0,0,1,4,0,0,50,6.0,708.0,20:14,0.1,1.5,1.5,64,11,0,0,,6-3,206,R/-,8,4025000.0,CAR
19,Brendan Lemieux,27.0,LW,17,2,1,3,0,38,2,0,0,1,1,0,0,11,18.2,125.0,7:22,0.1,0.2,0.3,1,23,0,7,0.0,6-1,215,L/-,6,800000.0,CAR
20,Pyotr Kochetkov,24.0,G,23,0,0,0,0,4,0,0,0,0,0,0,0,0,,1256.0,54:37,0.0,0.0,2.9,0,0,0,0,,6-3,205,-/L,2,1500000.0,CAR
21,Yaniv Perets,23.0,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,13.0,12:46,0.0,0.0,0.0,0,0,0,0,,6-1,181,-/L,0,775000.0,CAR
22,Antti Raanta,34.0,G,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,981.0,54:29,0.0,0.0,0.9,0,0,0,0,,6-0,195,-/L,10,1500000.0,CAR
0,Sidney Crosby,36.0,C,42,26,20,46,19,24,20,6,0,3,16,4,0,152,17.1,848.0,20:11,4.7,1.6,6.3,19,44,575,390,59.6,5-11,200,L/-,18,3000000.0,PIT
1,Jake Guentzel,29.0,C,42,19,27,46,12,14,16,3,0,2,20,7,0,157,12.1,880.0,20:57,3.9,1.4,5.3,16,27,4,12,25.0,5-11,180,L/-,7,6000000.0,PIT
2,Evgeni Malkin,37.0,C,42,15,21,36,1,38,12,3,0,2,12,9,0,114,13.2,797.0,18:59,2.8,0.9,3.7,21,9,207,209,49.8,6-3,195,L/-,17,6000000.0,PIT
3,Erik Karlsson,33.0,D,42,7,24,31,10,24,5,2,0,2,17,7,0,102,6.9,1025.0,24:24,2.4,2.9,5.3,44,17,0,0,,6-0,190,R/-,14,9130435.0,PIT
4,Kris Letang,36.0,D,42,3,26,29,15,40,3,0,0,0,24,2,0,87,3.4,1039.0,24:45,1.8,3.3,5.1,71,62,0,0,,6-0,201,R/-,17,8000000.0,PIT
5,Bryan Rust,31.0,RW,29,11,14,25,14,6,11,0,0,1,14,0,0,87,12.6,540.0,18:37,2.0,1.1,3.1,20,21,1,2,33.3,5-11,192,R/-,9,6100000.0,PIT
6,Reilly Smith,32.0,RW,40,8,12,20,-1,6,7,1,0,1,7,5,0,80,10.0,649.0,16:14,0.9,0.7,1.6,10,21,3,6,33.3,6-1,185,L/-,12,5250000.0,PIT
7,Rickard Rakell,30.0,RW,30,5,11,16,2,4,3,2,0,1,9,2,0,79,6.3,518.0,17:16,0.6,0.6,1.2,19,35,3,6,33.3,6-1,195,R/-,11,6000000.0,PIT
8,Marcus Pettersson,27.0,D,42,1,15,16,21,20,1,0,0,0,15,0,0,53,1.9,947.0,22:32,0.5,3.5,4.0,73,45,0,0,,6-3,177,L/-,6,4025175.0,PIT
9,Drew O'Connor,25.0,F,42,6,9,15,8,10,6,0,0,1,8,0,1,82,7.3,619.0,14:44,0.3,1.0,1.3,21,25,13,13,50.0,6-3,200,L/-,3,925000.0,PIT
10,Lars Eller,34.0,C,42,7,6,13,2,16,5,1,1,0,6,0,0,80,8.8,625.0,14:53,0.2,0.8,1.0,29,27,236,219,51.9,6-2,205,L/-,14,1450000.0,PIT
11,Jeff Carter,39.0,C,36,5,2,7,-2,10,3,1,1,3,2,0,0,44,11.4,417.0,11:34,0.0,0.4,0.4,16,28,97,57,63.0,6-3,219,R/-,18,3000000.0,PIT
12,Ryan Graves,28.0,D,42,2,5,7,13,20,2,0,0,1,5,0,0,49,4.1,814.0,19:23,-0.1,2.7,2.5,80,34,0,0,,6-5,220,L/-,5,3750000.0,PIT
13,Valtteri Puustinen,24.0,RW,17,1,6,7,2,4,1,0,0,0,5,1,0,32,3.1,191.0,11:14,0.3,0.3,0.5,11,7,1,2,33.3,5-9,183,R/-,1,775000.0,PIT
14,Noel Acciari,32.0,C,34,3,1,4,2,6,3,0,0,1,1,0,0,39,7.7,440.0,12:56,-0.5,0.6,0.0,52,66,194,163,54.3,5-10,209,R/-,8,1500000.0,PIT
15,Jansen Harkins,26.0,C,27,0,4,4,-2,12,0,0,0,0,4,0,0,25,0.0,232.0,8:37,-0.3,0.2,-0.1,8,39,2,0,100.0,6-2,197,L/-,4,875000.0,PIT
16,Chad Ruhwedel,33.0,D,28,1,1,2,-3,2,1,0,0,0,1,0,0,20,5.0,346.0,12:22,-0.1,0.5,0.4,23,38,0,0,,5-11,191,R/-,11,800000.0,PIT
17,Pierre-Olivier Joseph,24.0,D,15,0,2,2,-5,4,0,0,0,0,2,0,0,12,0.0,207.0,13:47,-0.1,0.1,0.0,10,9,0,0,,6-2,185,L/-,3,850000.0,PIT
18,Tristan Jarry,28.0,G,29,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,1572.0,54:12,0.0,0.0,5.4,0,0,0,0,,6-2,194,-/L,7,5300000.0,PIT
19,Alex Nedeljkovic,28.0,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,835.0,55:40,0.0,0.0,3.1,0,0,0,0,,6-0,189,-/L,6,1500000.0,PIT
20,Ryan Shea,26.0,D,22,0,0,0,-2,6,0,0,0,0,0,0,0,13,0.0,274.0,12:28,-0.3,0.4,0.1,14,13,0,0,,6-2,200,L/-,0,775000.0,PIT
21,Colin White,27.0,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.0,7:21,0.0,0.0,0.0,0,0,0,1,0.0,6-1,194,R/-,7,775000.0,PIT
0,Alex Ovechkin,38.0,LW,39,8,19,27,-11,12,5,3,0,2,10,9,0,139,5.8,756.0,19:23,1.3,0.6,1.9,8,66,0,2,0.0,6-3,238,R/-,18,1000000.0,WSH
