,Player,Pos,Age,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
17,Eeli Tolvanen,F,24,5,1450000.0,44,11,17,28,-2,10,11,0,0,1,11,6,0,89,12.4,702.0,15:57,1.8,0.9,2.7,50,90,8,11,42.1,SEA
18,Alexander Wennberg,F,29,9,5000000.0,44,7,11,18,3,12,5,1,1,3,10,1,0,63,11.1,821.0,18:40,0.1,1.2,1.3,49,18,333,375,47.0,SEA
19,Kailer Yamamoto,F,25,6,1500000.0,41,7,5,12,-5,12,5,2,0,2,3,2,0,42,16.7,501.0,12:13,0.4,0.5,0.9,13,15,13,16,44.8,SEA
0,Leo Carlsson,F,19,0,855000.0,25,8,7,15,-8,8,5,3,0,0,3,4,0,49,16.3,456.0,18:14,1.0,0.3,1.3,9,14,94,192,32.9,ANA
1,Sam Carrick,F,31,7,850000.0,44,6,3,9,-6,54,5,0,1,0,3,0,0,54,11.1,568.0,12:55,-0.1,0.5,0.4,23,75,244,225,52.0,ANA
2,Cam Fowler,D,32,13,7500000.0,44,2,18,20,-22,8,2,0,0,0,9,9,0,61,3.3,1116.0,25:21,0.7,1.2,1.9,67,19,0,0,,ANA
3,John Gibson,G,30,10,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,1551.0,55:24,0.0,0.0,4.4,0,0,0,0,,ANA
4,Benoit-Olivier Groulx,F,23,2,775000.0,25,0,1,1,-3,12,0,0,0,0,1,0,0,23,0.0,314.0,12:34,-0.8,0.3,-0.5,15,40,66,82,44.6,ANA
5,Radko Gudas,D,33,11,4000000.0,38,6,5,11,12,71,6,0,0,0,5,0,0,58,10.3,702.0,18:29,0.8,2.6,3.4,81,104,0,0,,ANA
6,Adam Henrique,F,33,13,5825000.0,43,11,13,24,-1,14,5,4,2,2,7,4,2,73,15.1,730.0,16:58,1.4,0.9,2.3,39,29,355,309,53.5,ANA
7,Ross Johnston,F,29,7,1100000.0,32,0,2,2,0,64,0,0,0,0,2,0,0,22,0.0,245.0,7:39,-0.5,0.3,-0.2,16,50,2,0,100.0,ANA
8,Alex Killorn,F,34,11,6250000.0,34,6,13,19,-15,30,3,3,0,1,11,2,0,80,7.5,629.0,18:30,0.7,0.3,1.0,15,27,9,14,39.1,ANA
9,Jackson LaCombe,D,23,1,832500.0,40,0,7,7,-23,12,0,0,0,0,7,0,0,37,0.0,786.0,19:39,-0.3,0.3,0.0,69,29,0,0,,ANA
10,Brett Leason,F,24,2,800000.0,36,6,6,12,-6,10,6,0,0,0,6,0,0,49,12.2,462.0,12:50,0.5,0.4,0.9,30,37,9,12,42.9,ANA
11,Tristan Luneau,D,20,0,775000.0,7,1,2,3,1,4,1,0,0,0,2,0,0,11,9.1,125.0,17:52,0.2,0.4,0.6,4,5,0,0,,ANA
12,Ilya Lyubushkin,D,29,5,2750000.0,44,0,4,4,-6,49,0,0,0,0,4,0,0,31,0.0,758.0,17:13,-0.6,1.4,0.9,114,71,0,0,,ANA
13,Brock McGinn,F,29,8,2750000.0,21,1,2,3,-1,4,1,0,0,0,2,0,0,22,4.5,239.0,11:23,-0.3,0.3,0.0,8,22,5,6,45.5,ANA
14,Mason McTavish,F,21,2,832500.0,37,12,15,27,-18,42,8,3,1,3,10,4,1,87,13.8,625.0,16:54,2.1,0.2,2.2,24,22,281,235,54.5,ANA
15,Jakob Silfverberg,F,33,11,5250000.0,43,2,6,8,0,10,2,0,0,0,4,2,0,61,3.3,512.0,11:55,-0.4,0.7,0.2,17,9,10,11,47.6,ANA
16,Ryan Strome,F,30,10,5000000.0,41,5,18,23,-4,61,4,1,0,0,13,5,0,74,6.8,649.0,15:50,0.9,0.7,1.6,13,24,75,101,42.6,ANA
17,Troy Terry,F,26,6,7000000.0,41,11,16,27,-7,16,8,3,0,3,11,5,0,99,11.1,753.0,18:21,1.6,0.7,2.4,15,7,2,3,40.0,ANA
18,Urho Vaakanainen,D,25,5,900000.0,36,0,7,7,5,10,0,0,0,0,7,0,0,37,0.0,593.0,16:28,-0.1,1.8,1.8,33,15,0,0,,ANA
19,Frank Vatrano,F,29,8,3650000.0,44,21,12,33,-11,55,11,8,2,4,8,3,1,144,14.6,804.0,18:16,3.0,0.7,3.7,44,70,4,7,36.4,ANA
0,Calen Addison,D,23,3,825000.0,28,1,6,7,-14,18,1,0,0,0,2,4,0,32,3.1,497.0,17:45,0.1,0.4,0.5,39,9,0,0,,SJS
1,Justin Bailey,F,28,7,775000.0,24,2,5,7,-3,2,2,0,0,0,4,1,0,29,6.9,292.0,12:11,0.1,0.3,0.4,14,25,5,6,45.5,SJS
2,Alexander Barabanov,F,29,3,2000000.0,25,3,5,8,-16,6,3,0,0,0,4,1,0,36,8.3,409.0,16:22,-0.1,0.0,-0.1,8,11,0,0,,SJS
3,Mackenzie Blackwood,G,27,5,2200000.0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,,1580.0,54:29,0.0,0.0,4.4,0,0,0,0,,SJS
4,Kyle Burroughs,D,28,3,1100000.0,39,0,4,4,-24,45,0,0,0,0,4,0,0,41,0.0,744.0,19:05,-0.5,0.3,-0.2,75,94,0,0,,SJS
5,Ryan Carpenter,F,33,8,775000.0,28,2,4,6,-1,4,2,0,0,0,4,0,0,29,6.9,321.0,11:29,-0.1,0.4,0.3,17,22,114,126,47.5,SJS
6,Magnus Chrona,G,23,0,70000.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,51.0,25:15,0.0,0.0,-0.4,0,0,0,0,,SJS
7,Anthony Duclair,F,28,9,4000000.0,40,8,8,16,-11,26,7,1,0,1,4,4,0,67,11.9,642.0,16:02,0.5,0.5,1.1,21,20,9,17,34.6,SJS
8,William Eklund,F,21,2,832500.0,44,7,11,18,-23,20,3,4,0,4,8,2,1,72,9.7,806.0,18:20,0.2,0.3,0.5,39,16,13,25,34.2,SJS
9,Ty Emberson,D,23,0,775000.0,21,1,6,7,-2,2,1,0,0,0,5,1,0,22,4.5,394.0,18:47,0.3,1.0,1.2,30,43,0,0,,SJS
10,Mario Ferraro,D,25,4,3250000.0,45,1,13,14,-25,26,1,0,0,0,13,0,0,76,1.3,1028.0,22:51,0.1,1.1,1.2,130,58,0,0,,SJS
11,Mikael Granlund,F,31,11,6000000.0,38,5,24,29,-10,14,5,0,0,1,14,9,1,73,6.8,782.0,20:35,1.1,0.8,1.9,32,36,260,272,48.9,SJS
12,Mike Hoffman,F,34,12,5000000.0,43,8,7,15,-14,16,6,2,0,1,6,1,0,49,16.3,615.0,14:18,0.5,0.4,0.9,20,18,10,15,40.0,SJS
13,Luke Kunin,F,26,6,3000000.0,40,6,2,8,-21,40,5,1,0,1,1,1,0,55,10.9,598.0,14:58,-0.3,0.1,-0.2,30,61,107,139,43.5,SJS
14,Kevin Labanc,F,28,7,5875000.0,32,2,5,7,-16,8,2,0,0,0,2,3,0,43,4.7,377.0,11:47,-0.2,0.0,-0.2,11,27,3,13,18.8,SJS
15,Jan Rutta,D,33,6,2500000.0,39,0,6,6,-12,14,0,0,0,0,4,0,2,35,0.0,740.0,18:58,-0.4,1.2,0.9,62,35,0,0,,SJS
16,Scott Sabourin,F,31,3,775000.0,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0.0,28.0,9:17,-0.1,0.0,0.0,1,10,0,2,0.0,SJS
17,Henry Thrun,D,22,1,832500.0,20,1,2,3,-9,4,0,1,0,0,1,1,0,27,3.7,383.0,19:09,-0.1,0.4,0.3,33,13,0,0,,SJS
18,Filip Zadina,F,24,5,1100000.0,40,5,7,12,-28,8,4,1,0,1,6,1,0,72,6.9,533.0,13:20,0.1,-0.2,-0.1,18,22,13,38,25.5,SJS
19,Fabian Zetterlund,F,24,2,1400000.0,45,12,6,18,-17,21,9,2,1,0,4,2,0,105,11.4,821.0,18:15,0.6,0.6,1.2,40,45,12,18,40.0,SJS
