,Player,Pos,Age,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
14,Adam Pelech,D,29,8,5750000.0,21,0,3,3,1,17,0,0,0,0,3,0,0,21,0.0,407.0,19:23,-0.2,0.8,0.6,38,18,0,0,,NYI
15,Mike Reilly,D,30,8,1000000.0,24,3,6,9,-8,16,2,0,1,1,4,2,0,51,5.9,390.0,16:16,0.7,0.1,0.8,23,24,0,0,,NYI
16,Alexander Romanov,D,24,3,2500000.0,44,4,6,10,12,12,4,0,0,0,6,0,0,70,5.7,992.0,22:33,0.1,2.7,2.8,100,62,0,0,,NYI
17,Ilya Sorokin,G,28,3,4000000.0,32,0,1,1,0,0,0,0,0,0,0,1,0,0,,1886.0,58:57,0.0,0.0,7.1,0,0,0,0,,NYI
18,Oliver Wahlstrom,F,23,4,874125.0,22,2,3,5,-8,4,1,1,0,0,2,1,0,31,6.5,244.0,11:07,0.0,0.0,0.0,16,17,4,4,50.0,NYI
0,Kevin Bahl,D,23,3,900000.0,42,0,5,5,1,31,0,0,0,0,5,0,0,33,0.0,731.0,17:24,-0.4,1.4,1.0,46,77,0,0,,NJD
1,Nathan Bastian,F,26,4,1350000.0,40,2,5,7,-10,19,2,0,0,0,5,0,0,41,4.9,397.0,9:55,-0.2,0.1,-0.1,21,81,12,9,57.1,NJD
2,Jesper Bratt,F,25,6,5000000.0,42,16,30,46,-1,8,10,6,0,5,16,14,0,124,12.9,804.0,19:08,4.0,0.9,4.8,16,28,3,8,27.3,NJD
3,Nico Daws,G,23,1,775000.0,6,0,1,1,0,0,0,0,0,0,1,0,0,0,,354.0,59:03,0.0,0.0,1.3,0,0,0,0,,NJD
4,Erik Haula,F,32,10,2900000.0,37,10,12,22,-4,26,8,1,1,2,9,2,1,73,13.7,600.0,16:13,1.5,0.5,2.1,15,38,184,141,56.6,NJD
5,Alexander Holtz,F,22,2,832500.0,42,11,10,21,-3,8,10,1,0,1,9,1,0,69,15.9,504.0,12:00,1.8,0.4,2.3,8,18,0,6,0.0,NJD
6,Jack Hughes,F,22,4,8500000.0,32,15,30,45,-5,10,10,5,0,3,14,16,0,138,10.9,656.0,20:31,4.2,0.5,4.7,14,7,118,199,37.2,NJD
7,Luke Hughes,D,20,1,832500.0,42,8,16,24,-4,12,4,4,0,1,8,8,0,64,12.5,858.0,20:26,2.1,1.3,3.5,21,11,0,0,,NJD
8,Curtis Lazar,F,28,9,1000000.0,37,4,10,14,7,16,3,0,1,2,10,0,0,36,11.1,464.0,12:32,0.5,0.8,1.3,30,72,53,47,53.0,NJD
9,John Marino,D,26,4,5250000.0,42,2,12,14,-7,14,2,0,0,0,12,0,0,34,5.9,883.0,21:02,0.5,1.1,1.6,50,15,0,0,,NJD
10,Michael McLeod,F,25,5,1400000.0,42,10,9,19,9,10,10,0,0,2,9,0,0,69,14.5,628.0,14:57,1.2,1.0,2.2,20,79,399,206,66.0,NJD
11,Timo Meier,F,27,7,6000000.0,29,9,7,16,-18,14,6,3,0,1,3,4,0,82,11.0,489.0,16:51,1.2,-0.1,1.0,12,31,25,22,53.2,NJD
12,Dawson Mercer,F,22,2,832500.0,42,13,9,22,-7,10,10,3,0,1,8,1,0,76,17.1,744.0,17:42,1.4,0.6,2.0,29,14,101,105,49.0,NJD
13,Colin Miller,D,31,8,1700000.0,23,2,3,5,11,16,2,0,0,0,3,0,0,38,5.3,353.0,15:22,0.3,1.5,1.7,17,33,0,0,,NJD
14,Simon Nemec,D,19,0,855000.0,21,2,7,9,-3,6,2,0,0,1,5,2,0,29,6.9,436.0,20:46,0.6,0.6,1.2,37,7,0,0,,NJD
15,Brendan Smith,D,34,12,1200000.0,34,1,4,5,2,47,1,0,0,0,4,0,0,31,3.2,490.0,14:25,0.0,1.1,1.1,42,48,0,0,,NJD
16,Chris Tierney,F,29,9,775000.0,22,0,3,3,0,2,0,0,0,0,3,0,0,10,0.0,194.0,8:49,-0.2,0.2,0.0,4,6,55,37,59.8,NJD
17,Tyler Toffoli,F,31,11,3500000.0,42,16,13,29,-10,8,12,4,0,1,8,5,0,116,13.8,731.0,17:25,2.5,0.4,2.9,6,27,15,25,37.5,NJD
0,Jake Bean,D,25,4,2900000.0,41,3,4,7,-12,20,3,0,0,0,4,0,0,56,5.4,666.0,16:15,0.1,0.4,0.5,62,13,0,0,,CBJ
1,Adam Boqvist,D,23,4,2600000.0,17,0,7,7,-1,0,0,0,0,0,3,4,0,19,0.0,308.0,18:08,0.3,0.5,0.8,23,7,0,0,,CBJ
2,Yegor Chinakhov,F,22,2,800000.0,33,11,7,18,-5,6,10,1,0,2,6,1,0,68,16.2,513.0,15:32,1.4,0.4,1.8,18,25,0,5,0.0,CBJ
3,Justin Danforth,F,30,2,975000.0,44,9,9,18,-8,18,9,0,0,1,9,0,0,57,15.8,685.0,15:34,0.8,0.4,1.2,34,65,124,122,50.4,CBJ
4,Adam Fantilli,F,19,0,855000.0,44,11,14,25,-17,16,10,1,0,1,13,1,0,106,10.4,696.0,15:49,1.6,0.1,1.7,21,37,170,218,43.8,CBJ
5,Johnny Gaudreau,F,30,10,7750000.0,44,7,21,28,-21,10,6,1,0,1,11,10,0,90,7.8,835.0,18:58,1.1,0.1,1.2,13,1,0,1,0.0,CBJ
6,Erik Gudbranson,D,32,12,4000000.0,40,3,10,13,-14,51,3,0,0,1,10,0,0,39,7.7,783.0,19:35,0.6,0.4,1.0,104,37,0,0,,CBJ
7,Kent Johnson,F,21,2,832500.0,28,6,8,14,1,2,6,0,0,1,8,0,0,42,14.3,385.0,13:46,0.9,0.4,1.3,13,3,4,7,36.4,CBJ
8,Sean Kuraly,F,31,7,3250000.0,36,6,5,11,-2,28,6,0,0,0,5,0,0,48,12.5,485.0,13:29,0.3,0.4,0.8,21,77,164,163,50.2,CBJ
9,Kirill Marchenko,F,23,1,832500.0,42,14,10,24,6,10,8,6,0,1,10,0,0,107,13.1,693.0,16:29,1.8,1.0,2.8,26,17,19,39,32.8,CBJ
10,Spencer Martin,G,28,3,775000.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,707.0,54:24,0.0,0.0,1.5,0,0,0,0,,CBJ
11,Mathieu Olivier,F,26,4,1100000.0,22,1,4,5,-1,19,1,0,0,0,4,0,0,21,4.8,219.0,9:58,0.0,0.2,0.2,13,53,2,3,40.0,CBJ
12,Andrew Peeke,D,25,4,2750000.0,15,0,6,6,-2,2,0,0,0,0,6,0,0,16,0.0,251.0,16:44,0.3,0.3,0.6,30,24,0,0,,CBJ
13,Ivan Provorov,D,27,7,3850000.0,44,4,19,23,-9,4,4,0,0,0,13,6,0,56,7.1,1006.0,22:51,1.4,1.2,2.6,85,32,0,0,,CBJ
14,Jack Roslovic,F,27,7,4000000.0,22,2,8,10,-9,8,2,0,0,1,6,2,0,37,5.4,357.0,16:15,0.2,0.0,0.2,15,10,34,47,42.0,CBJ
15,Damon Severson,D,29,9,6000000.0,29,5,7,12,-2,22,5,0,0,0,6,1,0,35,14.3,615.0,21:13,0.9,1.0,1.9,49,11,0,0,,CBJ
16,Cole Sillinger,F,20,2,832500.0,39,7,10,17,0,28,6,1,0,1,10,0,0,79,8.9,588.0,15:05,0.7,0.6,1.4,42,47,189,217,46.6,CBJ
17,Daniil Tarasov,G,24,2,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,485.0,60:34,0.0,0.0,0.8,0,0,0,0,,CBJ
18,Alexandre Texier,F,24,4,1750000.0,42,6,7,13,-9,20,6,0,0,0,6,1,0,56,10.7,607.0,14:26,0.2,0.3,0.5,19,16,4,7,36.4,CBJ
19,Dmitri Voronkov,F,23,0,832500.0,38,9,13,22,4,27,7,2,0,0,12,1,0,59,15.3,506.0,13:19,1.6,0.7,2.3,23,35,119,154,43.6,CBJ
