,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
0,Artemi Panarin,32.0,LW,49.0,30.0,36.0,66.0,-2.0,14.0,21.0,9.0,0.0,3.0,17.0,19.0,0.0,194.0,15.5,990.0,20:13,6.5,1.2,7.7,6.0,5.0,1.0,7.0,12.5,6-0,173.0,R/-,8.0,NYR,LW,13.9,11642857.0
1,Vincent Trocheck,30.0,C,49.0,15.0,31.0,46.0,0.0,41.0,6.0,9.0,0.0,3.0,23.0,8.0,0.0,119.0,12.6,1031.0,21:02,3.0,1.3,4.4,44.0,65.0,549.0,340.0,61.8,5-11,184.0,R/-,10.0,NYR,"C, RW",6.7,5625000.0
2,Mika Zibanejad,30.0,C,48.0,15.0,31.0,46.0,9.0,28.0,7.0,7.0,1.0,1.0,16.0,14.0,1.0,116.0,12.9,937.0,19:32,3.3,1.5,4.8,35.0,18.0,335.0,316.0,51.5,6-2,202.0,R/-,12.0,NYR,C,10.2,8500000.0
3,Chris Kreider,32.0,LW,49.0,23.0,22.0,45.0,13.0,18.0,12.0,9.0,2.0,5.0,14.0,7.0,1.0,141.0,16.3,914.0,18:39,4.0,1.7,5.7,11.0,47.0,22.0,35.0,38.6,6-3,230.0,L/-,11.0,NYR,LW,7.8,6500000.0
4,Adam Fox,25.0,D,39.0,8.0,29.0,37.0,4.0,18.0,5.0,3.0,0.0,1.0,12.0,17.0,0.0,67.0,11.9,900.0,23:05,3.2,2.5,5.7,56.0,14.0,0.0,0.0,,5-11,182.0,R/-,4.0,NYR,RD,11.4,9500000.0
5,Alexis Lafreniere,22.0,LW,49.0,12.0,17.0,29.0,-10.0,14.0,10.0,2.0,0.0,3.0,15.0,2.0,0.0,126.0,9.5,850.0,17:21,1.6,0.7,2.3,11.0,31.0,11.0,34.0,24.4,6-1,195.0,L/-,3.0,NYR,"LW, RW",2.8,2325000.0
6,Erik Gustafsson,31.0,D,48.0,4.0,19.0,23.0,2.0,19.0,4.0,0.0,0.0,0.0,11.0,8.0,0.0,69.0,5.8,828.0,17:15,1.6,2.1,3.7,46.0,33.0,0.0,0.0,,6-0,197.0,L/-,7.0,NYR,LD,1.0,825000.0
7,Blake Wheeler,37.0,RW,49.0,9.0,11.0,20.0,0.0,23.0,8.0,1.0,0.0,1.0,11.0,0.0,0.0,72.0,12.5,625.0,12:45,1.1,0.8,1.9,29.0,22.0,37.0,21.0,63.8,6-5,225.0,R/-,15.0,NYR,RW,1.0,800000.0
8,K'Andre Miller,24.0,D,47.0,7.0,11.0,18.0,4.0,26.0,7.0,0.0,0.0,3.0,10.0,0.0,1.0,59.0,11.9,1033.0,21:58,1.1,2.8,3.9,64.0,64.0,0.0,0.0,,6-5,215.0,L/-,3.0,NYR,LD,4.6,3872000.0
9,Jimmy Vesey,30.0,LW,47.0,9.0,5.0,14.0,0.0,11.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,83.0,10.8,583.0,12:25,0.6,0.8,1.4,19.0,34.0,7.0,6.0,53.8,6-3,202.0,L/-,7.0,NYR,"RW, LW",1.0,800000.0
10,Braden Schneider,22.0,D,49.0,3.0,9.0,12.0,-5.0,12.0,3.0,0.0,0.0,1.0,9.0,0.0,0.0,49.0,6.1,734.0,14:59,0.5,1.4,1.9,69.0,69.0,0.0,0.0,,6-3,208.0,R/-,2.0,NYR,RD,1.1,925000.0
11,Jonny Brodzinski,30.0,C,30.0,2.0,9.0,11.0,0.0,6.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,47.0,4.3,338.0,11:16,0.3,0.4,0.8,12.0,13.0,93.0,74.0,55.7,6-0,204.0,R/-,7.0,NYR,C,0.9,762500.0
12,Ryan Lindgren,25.0,D,47.0,2.0,5.0,7.0,5.0,24.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,45.0,4.4,908.0,19:20,-0.3,2.6,2.3,60.0,54.0,0.0,0.0,,6-0,190.0,L/-,5.0,NYR,LD,3.6,3000000.0
13,Kaapo Kakko,22.0,RW,28.0,5.0,1.0,6.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,14.7,377.0,13:27,0.0,0.6,0.6,8.0,6.0,1.0,0.0,100.0,6-2,206.0,L/-,4.0,NYR,RW,2.5,2100000.0
14,Barclay Goodrow,30.0,RW,47.0,1.0,4.0,5.0,-9.0,43.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,37.0,2.7,594.0,12:38,-1.1,0.4,-0.6,47.0,74.0,157.0,141.0,52.7,6-2,204.0,L/-,9.0,NYR,"C, LW",4.4,3641667.0
15,Tyler Pitlick,32.0,C,31.0,1.0,2.0,3.0,-4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,3.3,316.0,10:11,-0.5,0.3,-0.2,11.0,63.0,2.0,14.0,12.5,6-2,200.0,R/-,9.0,NYR,RW,0.9,787500.0
