,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
20,Travis Konecny,26.0,C,44.0,21.0,19.0,40.0,17.0,40.0,14.0,2.0,5.0,2.0,18.0,1.0,0.0,147.0,14.3,855.0,19:26,3.6,1.7,5.4,14.0,29.0,14.0,28.0,33.3,5-10,192.0,R/-,7.0,PHI,"RW, LW",6.6,5500000.0
21,Joel Farabee,23.0,LW,44.0,15.0,19.0,34.0,11.0,29.0,14.0,1.0,0.0,2.0,16.0,3.0,0.0,98.0,15.3,691.0,15:43,2.9,1.3,4.2,38.0,22.0,17.0,20.0,45.9,6-0,183.0,L/-,4.0,PHI,"LW, RW",6.0,5000000.0
22,Sean Couturier,31.0,C,40.0,10.0,19.0,29.0,11.0,16.0,7.0,3.0,0.0,2.0,15.0,3.0,1.0,113.0,8.8,802.0,20:03,1.6,1.5,3.1,23.0,9.0,437.0,396.0,52.5,6-3,211.0,L/-,11.0,PHI,C,9.3,7750000.0
23,Owen Tippett,24.0,RW,44.0,16.0,11.0,27.0,-4.0,2.0,14.0,2.0,0.0,2.0,9.0,2.0,0.0,162.0,9.9,696.0,15:49,2.3,0.8,3.1,21.0,66.0,14.0,21.0,40.0,6-1,207.0,R/-,4.0,PHI,RW,1.8,1500000.0
24,Travis Sanheim,27.0,D,43.0,4.0,21.0,25.0,-7.0,28.0,4.0,0.0,0.0,2.0,15.0,4.0,2.0,78.0,5.1,1051.0,24:26,1.5,2.1,3.6,73.0,32.0,0.0,0.0,,6-4,222.0,L/-,6.0,PHI,LD/RD,7.5,6250000.0
25,Cam Atkinson,34.0,RW,43.0,10.0,11.0,21.0,-11.0,16.0,9.0,1.0,0.0,3.0,8.0,3.0,0.0,130.0,7.7,731.0,17:00,1.0,0.6,1.6,28.0,9.0,7.0,7.0,50.0,5-8,176.0,R/-,11.0,PHI,"RW, LW",7.0,5875000.0
26,Scott Laughton,29.0,C,44.0,4.0,15.0,19.0,-2.0,32.0,3.0,0.0,1.0,0.0,10.0,1.0,4.0,98.0,4.1,687.0,15:37,0.4,0.8,1.2,27.0,61.0,260.0,267.0,49.3,6-1,190.0,L/-,10.0,PHI,"LW, C",3.6,3000000.0
27,Bobby Brink,22.0,RW,38.0,7.0,11.0,18.0,7.0,6.0,5.0,2.0,0.0,1.0,9.0,2.0,0.0,55.0,12.7,548.0,14:25,0.9,1.0,1.9,15.0,11.0,3.0,2.0,60.0,5-8,169.0,R/-,1.0,PHI,RW,1.1,925000.0
28,Tyson Foerster,22.0,RW,43.0,6.0,11.0,17.0,4.0,18.0,3.0,3.0,0.0,0.0,8.0,3.0,0.0,95.0,6.3,729.0,16:57,0.2,1.1,1.3,28.0,32.0,0.0,1.0,0.0,6-2,203.0,R/-,1.0,PHI,"RW, C",1.0,863333.0
29,Morgan Frost,24.0,C,33.0,7.0,9.0,16.0,6.0,10.0,5.0,2.0,0.0,1.0,7.0,2.0,0.0,63.0,11.1,508.0,15:24,0.9,0.9,1.7,28.0,19.0,162.0,199.0,44.9,6-0,193.0,L/-,4.0,PHI,C,2.5,2100000.0
