,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
0,Artemi Panarin,32.0,LW,48.0,29.0,34.0,63.0,-4.0,14.0,20.0,9.0,0.0,3.0,15.0,19.0,0.0,192.0,15.1,972.0,20:15,6.1,1.2,7.3,6.0,4.0,1.0,7.0,12.5,6-0,173.0,R/-,8.0,NYR,LW,13.9,11642857.0
1,Vincent Trocheck,30.0,C,48.0,15.0,30.0,45.0,-2.0,41.0,6.0,9.0,0.0,3.0,22.0,8.0,0.0,118.0,12.7,1011.0,21:03,3.0,1.3,4.3,44.0,65.0,538.0,333.0,61.8,5-11,184.0,R/-,10.0,NYR,"C, RW",6.7,5625000.0
2,Mika Zibanejad,30.0,C,47.0,15.0,29.0,44.0,7.0,26.0,7.0,7.0,1.0,1.0,14.0,14.0,1.0,116.0,12.9,919.0,19:33,3.1,1.5,4.6,34.0,18.0,330.0,310.0,51.6,6-2,202.0,R/-,12.0,NYR,C,10.2,8500000.0
3,Chris Kreider,32.0,LW,48.0,22.0,21.0,43.0,11.0,18.0,11.0,9.0,2.0,5.0,13.0,7.0,1.0,138.0,15.9,896.0,18:40,3.8,1.6,5.4,11.0,45.0,22.0,35.0,38.6,6-3,230.0,L/-,11.0,NYR,LW,7.8,6500000.0
4,Adam Fox,25.0,D,38.0,8.0,28.0,36.0,2.0,18.0,5.0,3.0,0.0,1.0,11.0,17.0,0.0,65.0,12.3,877.0,23:05,3.1,2.4,5.5,56.0,13.0,0.0,0.0,,5-11,182.0,R/-,4.0,NYR,RD,11.4,9500000.0
5,Alexis Lafreniere,22.0,LW,48.0,11.0,16.0,27.0,-11.0,14.0,9.0,2.0,0.0,3.0,14.0,2.0,0.0,123.0,8.9,834.0,17:22,1.3,0.7,2.1,11.0,31.0,11.0,34.0,24.4,6-1,195.0,L/-,3.0,NYR,"LW, RW",2.8,2325000.0
6,Erik Gustafsson,31.0,D,47.0,4.0,18.0,22.0,-1.0,19.0,4.0,0.0,0.0,0.0,10.0,8.0,0.0,67.0,6.0,811.0,17:15,1.5,2.0,3.5,45.0,31.0,0.0,0.0,,6-0,197.0,L/-,7.0,NYR,LD,1.0,825000.0
7,Blake Wheeler,37.0,RW,48.0,8.0,11.0,19.0,-1.0,21.0,7.0,1.0,0.0,1.0,11.0,0.0,0.0,69.0,11.6,611.0,12:43,0.9,0.8,1.7,29.0,21.0,36.0,21.0,63.2,6-5,225.0,R/-,15.0,NYR,RW,1.0,800000.0
8,Jacob Trouba,29.0,D,48.0,3.0,16.0,19.0,2.0,39.0,3.0,0.0,0.0,0.0,15.0,0.0,1.0,90.0,3.3,1051.0,21:53,0.8,2.8,3.6,142.0,112.0,0.0,0.0,,6-3,203.0,R/-,10.0,NYR,RD,9.6,8000000.0
9,K'Andre Miller,24.0,D,46.0,7.0,11.0,18.0,2.0,26.0,7.0,0.0,0.0,3.0,10.0,0.0,1.0,57.0,12.3,1010.0,21:58,1.1,2.7,3.9,62.0,60.0,0.0,0.0,,6-5,215.0,L/-,3.0,NYR,LD,4.6,3872000.0
