,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
0,Artemi Panarin,32.0,LW,47.0,29.0,34.0,63.0,-3.0,14.0,20.0,9.0,0.0,3.0,15.0,19.0,0.0,188.0,15.4,950.0,20:12,6.2,1.2,7.4,6.0,3.0,1.0,7.0,12.5,6-0,173.0,R/-,8.0,NYR,LW,13.9,11642857.0
1,Vincent Trocheck,30.0,C,47.0,15.0,30.0,45.0,-1.0,41.0,6.0,9.0,0.0,3.0,22.0,8.0,0.0,116.0,12.9,989.0,21:03,3.0,1.3,4.3,43.0,64.0,526.0,323.0,62.0,5-11,184.0,R/-,10.0,NYR,"C, RW",6.7,5625000.0
2,Mika Zibanejad,30.0,C,46.0,15.0,29.0,44.0,6.0,24.0,7.0,7.0,1.0,1.0,14.0,14.0,1.0,113.0,13.3,898.0,19:32,3.2,1.4,4.6,34.0,18.0,324.0,302.0,51.8,6-2,202.0,R/-,12.0,NYR,C,10.2,8500000.0
3,Chris Kreider,32.0,LW,47.0,22.0,21.0,43.0,10.0,18.0,11.0,9.0,2.0,5.0,13.0,7.0,1.0,133.0,16.5,877.0,18:40,3.8,1.5,5.4,11.0,44.0,22.0,33.0,40.0,6-3,230.0,L/-,11.0,NYR,LW,7.8,6500000.0
4,Adam Fox,25.0,D,37.0,8.0,27.0,35.0,3.0,18.0,5.0,3.0,0.0,1.0,10.0,17.0,0.0,65.0,12.3,850.0,22:58,3.1,2.4,5.4,56.0,13.0,0.0,0.0,,5-11,182.0,R/-,4.0,NYR,RD,11.4,9500000.0
5,Alexis Lafreniere,22.0,LW,47.0,11.0,16.0,27.0,-10.0,14.0,9.0,2.0,0.0,3.0,14.0,2.0,0.0,120.0,9.2,815.0,17:21,1.4,0.7,2.1,11.0,31.0,10.0,33.0,23.3,6-1,195.0,L/-,3.0,NYR,"LW, RW",2.8,2325000.0
6,Erik Gustafsson,31.0,D,46.0,4.0,17.0,21.0,-1.0,19.0,4.0,0.0,0.0,0.0,9.0,8.0,0.0,67.0,6.0,790.0,17:10,1.4,1.9,3.3,42.0,29.0,0.0,0.0,,6-0,197.0,L/-,7.0,NYR,LD,1.0,825000.0
7,K'Andre Miller,24.0,D,45.0,7.0,11.0,18.0,4.0,26.0,7.0,0.0,0.0,3.0,10.0,0.0,1.0,56.0,12.5,986.0,21:54,1.2,2.8,3.9,60.0,59.0,0.0,0.0,,6-5,215.0,L/-,3.0,NYR,LD,4.6,3872000.0
8,Jacob Trouba,29.0,D,47.0,3.0,15.0,18.0,2.0,39.0,3.0,0.0,0.0,0.0,14.0,0.0,1.0,84.0,3.6,1028.0,21:52,0.7,2.7,3.5,142.0,109.0,0.0,0.0,,6-3,203.0,R/-,10.0,NYR,RD,9.6,8000000.0
9,Blake Wheeler,37.0,RW,47.0,7.0,10.0,17.0,-2.0,21.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,65.0,10.8,595.0,12:40,0.7,0.7,1.4,29.0,21.0,36.0,21.0,63.2,6-5,225.0,R/-,15.0,NYR,RW,1.0,800000.0
10,Jimmy Vesey,30.0,LW,45.0,9.0,5.0,14.0,2.0,11.0,9.0,0.0,0.0,4.0,5.0,0.0,0.0,78.0,11.5,557.0,12:22,0.7,0.8,1.5,18.0,32.0,7.0,6.0,53.8,6-3,202.0,L/-,7.0,NYR,"RW, LW",1.0,800000.0
11,Braden Schneider,22.0,D,47.0,3.0,9.0,12.0,-3.0,12.0,3.0,0.0,0.0,1.0,9.0,0.0,0.0,47.0,6.4,699.0,14:52,0.6,1.5,2.1,63.0,62.0,0.0,0.0,,6-3,208.0,R/-,2.0,NYR,RD,1.1,925000.0
12,Jonny Brodzinski,30.0,C,28.0,1.0,8.0,9.0,-1.0,4.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,43.0,2.3,312.0,11:08,0.1,0.4,0.5,11.0,13.0,82.0,65.0,55.8,6-0,204.0,R/-,7.0,NYR,C,0.9,762500.0
13,Ryan Lindgren,25.0,D,46.0,2.0,5.0,7.0,6.0,24.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,45.0,4.4,906.0,19:41,-0.3,2.7,2.5,60.0,54.0,0.0,0.0,,6-0,190.0,L/-,5.0,NYR,LD,3.6,3000000.0
14,Barclay Goodrow,30.0,RW,45.0,1.0,4.0,5.0,-7.0,38.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,36.0,2.8,568.0,12:37,-1.0,0.5,-0.5,45.0,68.0,144.0,126.0,53.3,6-2,204.0,L/-,9.0,NYR,"C, LW",4.4,3641667.0
15,Kaapo Kakko,22.0,RW,26.0,3.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,9.4,352.0,13:33,-0.3,0.5,0.2,7.0,6.0,0.0,0.0,,6-2,206.0,L/-,4.0,NYR,RW,2.5,2100000.0
16,Tyler Pitlick,32.0,C,29.0,1.0,2.0,3.0,-2.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,28.0,3.6,292.0,10:04,-0.4,0.3,-0.1,11.0,55.0,2.0,14.0,12.5,6-2,200.0,R/-,9.0,NYR,RW,0.9,787500.0
17,Jake Leschyshyn,24.0,C,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,6:28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,5-11,198.0,L/-,2.0,NYR,C,0.9,766667.0
18,Jonathan Quick,38.0,G,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,927.0,57:56,0.0,0.0,2.9,0.0,0.0,0.0,0.0,,6-1,220.0,-/L,16.0,NYR,G,1.0,825000.0
19,Igor Shesterkin,28.0,G,31.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1831.0,59:05,0.0,0.0,4.8,0.0,0.0,0.0,0.0,,6-1,189.0,-/L,4.0,NYR,G,6.8,5666667.0
20,Travis Konecny,26.0,C,49.0,22.0,20.0,42.0,13.0,42.0,15.0,2.0,5.0,2.0,18.0,2.0,0.0,162.0,13.6,964.0,19:41,3.6,1.8,5.4,14.0,33.0,16.0,31.0,34.0,5-10,192.0,R/-,7.0,PHI,"RW, LW",6.6,5500000.0
21,Joel Farabee,23.0,LW,49.0,17.0,23.0,40.0,8.0,29.0,15.0,2.0,0.0,2.0,19.0,4.0,0.0,115.0,14.8,785.0,16:02,3.4,1.3,4.8,41.0,26.0,19.0,26.0,42.2,6-0,183.0,L/-,4.0,PHI,"LW, RW",6.0,5000000.0
22,Sean Couturier,31.0,C,45.0,10.0,20.0,30.0,8.0,16.0,7.0,3.0,0.0,2.0,16.0,3.0,1.0,132.0,7.6,901.0,20:02,1.4,1.5,2.9,27.0,13.0,493.0,446.0,52.5,6-3,211.0,L/-,11.0,PHI,C,9.3,7750000.0
